text,target
hooray! got payed at midnight and then turned around and payed taxes about 30 min later. now off to bed ,1
"@SaphInfection Oh, OK. That explains it. And puts my universe back into balance a bit. ",1
@misswayward I can't see ur cakes bb  I will check later,0
"@edinatl yup, HAWX is awesome, I love that game  Co-Op multiplayer taking on tanks, bombers, fighters! It's amazingly fun ",1
I feel so great for starting twitter at suzanne  but still hardly anyone has it.,1
Installing meebO at http://pkab.wordpress.com. Now you can talk with me when I am online. ,1
is supposed to work for university but the construction sight close by makes contant noise ,0
"@remainamystery I think I already did  Cardiff, here I come ",1
@SeptMourningM Texas is far from phx! LOL  what part?,0
@tommcfly did you know that johnsons baby use animals like cute bunnies to test their products? ,0
@HorrorHaven Good morning to you ,1
@sillypucci   Yes and it won't be long before you are playing easter bunny too! It's so much fun Em.  Have you been well?,1
"2 sites in progress being made, few extra $$ along with stimulas $900, might take a trip before xmas ",1
"If any of you are having a boring Easter, then send me a note on msn  I love to chat with people. My msn is ninaalbertsen@gmail.com",1
"@beckamcmaster general cleaning, very dull ",0
@addersop I have a habbit of misspelling bought. ,0
Follow Follow Follow lmaoo ,1
Yes Manech...you stink of fish...get over it ,1
cant get full screen though ,0
"I'm at the Trovus Tuesday breakfast, currently doing the meet an greet thing  http://www.trovus.co.uk/",1
Listening to Honor Society ,1
i lost my nintendo DS ,0
@alexhighton Sorry only just saw your message ,1
Back at the office -     still only 3 days until another long weekend... ,0
ill so i cant go to the cinema!! ,0
Blah love how my sister things she's Miley Cyrus or Tayor Swit ,1
being sexy and really happy ,1
"Only 18 more days left in london, where did the time go ",0
@rootbeerfloats8 You hate Billy now?! ,0
@chaitrasuresh oooh  Its a very very tempting offer ,1
driving to schiphol. apperantly I am not the only one. Stuck around aalsmeer ,0
"@snufsnuf I'm living in penang, its far from singapore plus i'm just getting started on IM so maybe a little while before i can go travel ",1
sitting at home and listen to my fav music ,1
i'm so bord i have nothing to do i wish my friends went busy ,0
All clear! All important data restored! Now I have to setup my working Mac againÃ¯Â¿Â½ Thanks to Buddha for incremental backups ,1
Megan equals Murder. ,0
@blueflameit I wish they are all ex red arrows and I have had the privilege of flying with them  http://theblades.biz,1
tired and borrrrrred this vacation  sooooooo hot,0
"@DonnieWahlberg Seriously, you are Donfucious!  ",1
"Good morning world, couldn't sleep tonight  Copenhagen doesn't want to leave my head...",0
Wordpress is being a bitch-ass bitch! Otherwise there'd be a new Silence remix up ,0
watching Tru Confessions at 4 in the morning....she is watching it too. ,1
@tayswift Im glad to hear im not the only one awake at 2 in the morning ,1
still in germany! ,0
Thats messed up ,0
"damn it, i still can't find a decent sized photo ",0
"@piktor, very true my friend. Anyone who knows me will tell you I'm ALL about quality...to a fault sometimes! Still fun to reach 1000. ",1
"is not having a good time, 2 cases of cluster headaches already this morning!  #fb",0
@tommcfly Hello! You should have the cereal with loads of sugar ,1
Sigh. Am sitting here working with my leg propped up.  It's making my ankle feel better but also making my knee hurt ,0
@markusreuter I would have used the word &quot;interesting&quot; ... I've come to the conclusion that I am just self- centered ,1
 now I'm happy ,1
@mercedesashley Damn! The grind is inspirational and saddening at the same time.  Don't want you to stop cuz I like what u do! Much love,0
@OfficialJagex you could use twitter to give us more info about MechScape o.0 Please ,1
"@rachellondon Hahaha,maybe Twitter has a conspiracy and are checking all political based tweets ",1
@TechBabe I blame ADD... too many things happening for me to focus on catching you haha... ooh look something shiny ,1
"@TomFelton seems  2 b fun guy, watching nick at nite ,almost 4 am here in massachusetts ,US.cold too brr have a good day  !!",1
"but I have to work now, so no time to play ",0
"@mileycyrus napping, i guess ",1
@stephenkruiser You poor spunky...its so sad...my Rotti made it to 10 and I had to go down the same path....I know how you feel ,0
"@0xdeadbeef yup, looks expensive. But in the states people get a boat or a car as &quot;lÃ¯Â¿Â½nefÃ¯Â¿Â½rmÃ¯Â¿Â½n&quot;, maybe you need a new monitor?? ",1
@citrusandcandy because of the movie or the person asking you out? ,1
"Getting ready for school, can't seem to focus my eyes yet...not a good sleep. ",0
Little work out was good  Specially since we were watching the Hills at the same time lol,1
goodd nightt  sweet dreams to everyonee   jared neveerr chat on kyte   lol,0
wants a G1 or a Prada 2  CONTRACT!,0
@HippyDi that's sad ,0
Up and ready to workout but trainer called and sai we will meet tonight. Thought I had a day off. I was wrong ,0
Has a bit of a scratchy throat  I hope it goes away before thursday and my weekend of fun!,0
"@AbbyJeanne hahaha @ALPHABETlQUE made it much more entertaining, ryan just had a big grin on his face, and i watched through my fingers ",1
@jsparsons I am starting my prep. for the PMP exam tomorrow.  Can relate the feeling.,0
I really wish I could sleep ,0
Oscar is getting ready to be neutered  http://apps.facebook.com/dogbook/profile/view/6366157,0
hid some easter eggs... ready... set... hunt! ,1
Posting a new vid.. nothing to do with weight loss just felt like vlogging.. ,1
@triplejHack true off to the #startrekmovie world premiere soonish. enjoy talking about supa-fast interwebs with conroy ,1
bad dayy ,0
"@criana godspeed, I have one this Friday ",0
"Fixed our levels  Frank used a different tileset, so everything was a big chaos !",1
@samandfuzzy I've noticed that. Made me sad because you were tweeting from NEWW. ,1
ARGH...Firefox has just removed a Bookmarks folder - my SharePoint folder including all links within   No idea why/how,0
yep...it's been 6 weeks  A lady at our church is watching her.,0
Just spent the last hour stuck in the elevator in my apartment building.  What fun...NOT!  Thanks to the Hoboken FD for rescuing me ,1
"@lissie45 sorry, just saw the post, signed up even before i finished reading lol....these guys are gold. feel bad for those who paid 600 ",0
@ShannaMoakler I'm afraid to fly too. What do you do when you HAVE to? I usually pop ativan and valium. Or maybe Ambien.  Works ok!,1
@bengottlieb Great idea with the iTunes promo codes - they don't work in the UK iTunes store though ,0
"@luvmandy384 I am now, by .. um.. 2  WOOOO!",1
@fancyelastic He he!  Thanks ,1
@edsaint awwwwww.......wow I'm such a girl ,0
DANG VIRUS!  I've avoided the sickness thing going around but one of my computers has not... crap ,0
"Does anyone know where I can get real copper ear wires in the UK, I don't want copper effect, I need the real thing, help me please! ",1
Just got to work a 1/2 hour ago.....wishing i was still in bed ,0
@stephenkruiser I'm so sorry to hear about your dog ,0
"I'm just,chatting with Michelle and Charles! ",1
says Busted songs make me wanna pick up the guitar again. Boo to broken strings.  http://plurk.com/p/n15j4,0
@maleehaa you mean 'scared' and 'threatened'? ,1
Attempting to leave &amp; cross the Int'l dateline the day before my birthday so I skip it completely this year. I stay at this age again!! ,1
"@NoOrdinaryGurl IM NOT THAT DENSE, I DONT PLAY THAT LOW. ",1
is at work!!!  xx,0
Okay be safe v (ictoria) ,1
"Found a nice lake-side park with a small beach, but . . . no grills   Oh well . . . I'll have to keep looking - another time.",0
"@pgh_1980 awe.... sorry to hear   What are you up to this weekend?  We need to catch up, I'll be home from friday to sunday!",0
i need a pick me up. probably should be tackling cardio right now. like that's gonna happen... ,0
"@rosiesd So far, you are quite honorable.  Funny how that works, right?! ; ) and yes, I've been having a great night. Going to continue...",1
"@MinaMeow I decided against it a while ago.  But, im a statistics and research geek   so, the information is fascinating to me.",1
has a mild left inner ear infection.. and its got this irritating &quot;blocked&quot; feeling since sunday.. ,0
"@dmf71 I should change my name to qoosfr (queen of obscure science fiction references) instead of cbn2, which only 1 person understands. ",1
feeling very happy with the giant box of chocolates that arrived this morning.  Easter is a wonderful but underrated holiday ,1
Can't sleep  I hate these nights when I try to go to bed early and stay awake for hours. Poo!,0
why i can`t find dear friend  i need her to tweet with me ! help me people !,0
@hellobebe I also send some updates in plurk but i upload photos on twitter!  you didnt see any of my updates on plurk? Zero? ,1
We had a visit from our lovely zone head today .... nice ,1
"@nick_carter Time for Warcraft yes, but for a simple game of a group of fans no  Just let us know if u figure it out, you want the prize?",0
"@freshfelicity I prefer foraging too! But will buy if I have to. Richmond is fairly far, I am in Zone 3 NE London ",0
duunw how to use this thing ,0
"@heiko Yes, she is  http://twitter.com/sevinnyne6126",1
@johnnybeane hey! you just changed your default. ,0
@Mandy_Howerton aw that's no good. Dallas is a thumbsup though. I used to live in Austin. I miss it so badly. ,0
vote for @xxStephy http://www.tripcentral.ca/PHP/funny/index.php?action=playVideo&amp;videoID=89 !  yayyy,1
"@sabinedewitte de soundtrack is echt super, de stem van Eddie Vedder is lovely ",1
@xoVince pssht! i miss u! u don't respond to me ,0
@JonathanRKnight Maybe Jordan could help you answer a few? Just an idea.. ,1
"@therealswizzz i guess graphic art didn't make the cut, huh? ",0
"just back from truro, huge queue in the bank.. ",0
doesnt  want to go to work lol ,0
@AllStarNinja my choices are limited since they blocked my HULU.. ,0
@olivierclaurent Thanks  I give it another few hours..... although Im not cranky or hungry which is what I was worried about,1
"Im getting nervous that this trip tomorrow may be a little boring. Haha oh well, i always have my trusty ipod and my books of course  lol",1
Just booted into Windows to upload something since Internet is even worse under Ubuntu ,0
@Mrjones2011 gimme some ! ,1
"As another long day begins, James is glad it's sunny. Stay away nasty rain ",1
"The sun is shining, and soon ill be off to karro's with negar  so much funness",1
"gets kinda annoyed for no apparent reason  off to do some religion homework, then some english D:",0
"I just can't spell today, i totally suck ",0
Too happy to wash away my grin ,1
@Zikes @zachriel @brokenboulevard Stop spamming my twitter damnit! And have a nice time at ikea ,1
"@ogflawless How absolutely delicious of you to say so.  We put our heart and soul into it, so it's nice to know it's appreciated ",1
and as we turn and look to the future..... very interesting times ahead ,1
@babythebear I love you ,1
@suitelifeofkell haha me too! it reminds me and my daddy of the monkee's old show   same here can't wait!  lol. WHATTT?,1
Week 2 of the fitness challenge and I'm starting off strong.  Just submitted my stats for the night and it ain't bad ,1
@joek949 Yep - didn't get too drunk though. Gotta think of health and my wallet ,1
Has woken up late and wasted some of the day! ,0
is it friday yet ,0
@drjackdr ahahaha yes i know!!! ahahah  Wait a minute pls ,1
Does anyone use Flock?  My accounts &amp; services info in the sidebar has disappeared. Anyone know how to recover them?  No help from Flock ,0
@Croconaw goodnight ,1
Hoping I can get some decent sleep tonight since I didn't get any worth shittt last night  Goodnight World! XOXO,0
"FML: So much for seniority, bc of technological ineptness, I now have to &quot;register&quot; for classes AGAIN ",0
"Death is peaceful,  life however, bites ",0
@web2asia -- great photos Georg! your serious Austrian dude image is a front. via @ajschokora's blog  http://is.gd/ra2r,1
2 hrs need to go by quick ,0
no one wants to ring me  lol kidding im hunting for zombies not witches (Y),0
"It's a new morning pulled back the curtains sunshining, birds tweeting and I'm stuck inside working  !",0
Misses Rach already ,0
@delustre I wanna watch Dollhouse!  I haven't seen any eps yet. I &lt;3 Eliza Dushku so much lol,0
"@mileycyrus http://twitpic.com/2y606 - awwwww shes sooooooooooooooooooo cute, thats a really cute pose...i want her ",1
"well the pc in my living room suffered a fatal partion lost, all my itunes library is gone.. and some docs with pics.... ",0
is still freezing in Melbourne but the comedy festival is on  #STAtravel,1
I am so swamped! I will get online again soon. I will not neglect my best friends! ,1
Traffic is hell in Athens. Should I quit job to find one closer to home ? ,1
Tomorrow/today is my free/lazy day. I'm so happy.  I'm gonna SLEEP like nobody's business and maybe actually WRITE something. ,1
lol @ no one commenting on my posts.  i feel soooo loved,1
"My son Vincas is sick, so I stay at home  Just three tense days at work, and I am back on holiday with kids",0
@RicardoTech Unfortunately I'm not allowed to splurge it all  Otherwise it'd be a netbook and a DSi for sure...Now I have to choose one,0
@Dana_Willhoit So what do you Floridians call &quot;Nippy&quot;?  It's 26 here in Rio WI. That's nippy here. LOL.,1
I am not a fan of sleeping alone  baby boo,0
yay! 2am and not a bit tired. ,0
gahhh why do I have to be sick before NYC!!! ,0
"@bradiewebbstack ew not meatloaf. go with pie..wow you said that like, 2 hours ago. omg as soon as i logged off you got on. typical ",0
"@TXBrad I need Coffee, lol, I saw you tweet this on McInTEC Net lol  it comes up before Mibbit, Mibbit is so slow on Twitter, it sucks ",0
@NeYawn Yeah! Interview... Don't know even when it is... ,0
@JonathanRKnight I'm just glad you appreciate Iowa.    Come back in late summer when they're cutting hay...  best..smell.. EVER!,1
@KatiePorrello thank you Katie! heading to the club as we speak! you have yourself a stellar night as well... take it easy homey!! ,1
@hellobebe I also send some updates in plurk but i upload photos on twitter!  you didnt see any of my updates on plurk? Zero? ,0
"@kworkman now that wifey works in a wine shop, I must know what my friends are drinking. Make with the details plz ",1
"@andrevr yes, but sadly i can't make it  family commitment from forever ago...",0
"g'mornin all...dont wanna go into work 2day, I think i might still be sick, which isn't pretty after last week  BTW END THE FED HR1207!",0
"hey, I actually won one of my bracket pools! Too bad it wasn't the one for money ",0
@piawaugh *dance dance dance* Finally I can tell people. ,1
in work early for team meeting but forgot my lunch ,0
Lamb Chowmein for dinner tonight.... hhhmmm with slightly roasted buttered dinner rolls! YUM YUM YUM... so hungry ,1
"I'm going to perform with my good friend Nicole Brilhante on Thursday at Don Ho's.  Please come, no one else will ",0
@PrinceDavey aww no invite??  lol jk. coolness for the day off!,0
"@JohnPeel haha yeah that is the most ad could manage!! this is hell were bloody brilliant, crowd turn out was pathertic though ",0
@phillColeman I had it as low as 3.5 last night ,0
Just as my dream was about to finish rendering I woke up ,0
in the photoshop ,1
Funny Marriage Quotes http://www.nikrusty.com/2009/04/funny-marriage-qoutes.html yet so true ,1
"@bejithebear hey there..so cool to hear about the focus group...i am signed up for wed, hope ours is as fun as your was ",1
Finally get 'THE HAIR' thing...if you know what i mean ,1
Borning - thats me with a cold virus - all bunged up and eyes all squinty...bah ,0
i don't want to go to schooooooool ,0
@Rhinecruise09 You're absolutely right ,0
"off to work now,tweet you guys at lunchbreak ",1
"too cold and tired to write good twitter. everyone was obeying the cops tonight, total dissappointment. we were so close ",0
"is going in for a meeting shortly. As usual, no idea what it's about, so going in to &quot;winging it&quot; mode ",1
@bradiewebbstack oh bradie. your so special ,1
Waiting to go to the dentist and wondering when this flippin cold is gonna go!! i feel poorly ,0
@ScoutBuck tons no hay Troll? ahhhh ,0
Morning twitters ,1
Tomorrow we'll gonna have Feijoda at the Office ,1
Txt-Chat with Jake. Lmfao. Its Frikkin Awesome! I Miss This Effin Boy So Much.  Awww. Hoping You Guys Would Come Back Here Na! ) xxxx,0
"@RyanSeacrest is it just me, or she hates anoop. i mean seriously, she's kinda mean to him. ",0
@taliasunset rock band is hard..on expert!!! ,0
"going to bed soon.  finally! i was talkin with one of my best friends, myla.  i haven't had good girl-talk in a LONG time!  fun-fun.",1
waiting for jason to wake up.. could be a while ,0
@bexxi So do we. The appropriate authorities have been informed. ,0
"@Zygoatsalami  sure, we need to get together to brainstorm up some blueprints.",1
@sh00nya bad thing is i need to work more on it.... ,1
"My first blip is for the love of my life, Maggie...  ? http://blip.fm/~3xbci",1
Living not downtown sure isn't much fun.  ,0
On train to Star #Trek movie premiere with my golden entry ticket to &quot;A Reserve Circle&quot; ,1
Fuxing homework ,0
just threw up all over the bathroom. not fun ,0
@ditesh haha I'm unsure what I can deliver for Foss.my. I'm not using alot of opensource software ( Hail Adobe for being expensive  ),0
Not feeling too good today ,0
@dale__wood I love uni coffee????? BET you won't get this one. ILPC oh ps uni tomorrow pick u up at 12:52! PS 1000 word assignment!  ARG,0
and finito! All bathroom contractors been thru the house. Quotes incoming then i need to bite the bullet ,0
"@kenjbarnes1 What's funny is, it's been so long, I don't even remember season 6! ",1
@lisaholmes you can buy my fiances duplex in Terwillegar ,1
what to do ,0
woho cool. today ist the day of days. i've created my twitteraccount ,1
"ok, everyone who's racing this weekend, dm me with a picture of your car &amp; the make and model. i'll put it all up on my blog ",1
@ordell we believe an email has been sent to you? ,1
@RWBEagle did you go? if so ...g'nite ,1
@jbruin lol esp when your updates hit my phone... ,1
@IamMarkus jep I could use some sleep ,1
"I am in a situation to write internals, but will have to write DMW ",0
Might go visit some ghosts at the video shoot! Going to have a nice catch up with chloe and going back to work. Great!! ,1
"No electricity today, so no tweets. ",0
@Lambgirl_83 Well Follow Me Twice! ,1
HEY GUYS EVERYONE ADD @MattWayneCeleb please and thank you ,1
"hehe, I'm such a dork, but I like my hat anyway.  ",1
@rodrigo_grana heh.. I mean I drunk so much liquor recently.  No worries.  and hiro has gone today :'-(,1
cant sleep once again. i need to cuddle ,0
@DOEZILLA Welcome to my fam ,1
@StyleNBeautyDoc i tried to leave a comment for rx brown skin  it wouldnt let me,0
@jamiegirl9 you silly goose...taking the cleveland browns to the superbowl eh?  i'm rootin for ya! ,1
@CarVin1 lol they are some emotional ass men!! Omg all this late night eating.. Both of us are broke ,0
gah. my wrist is still hurting ,0
mmm..... going to a meeting at a wine farm tomorrow in stellenbosch.... yum ,1
a friendly Chinese company emailed me to let me know that another company wants my domain  some people are amazing,1
at work - listening to punk rock &amp; about to eat face cake - life is a mad lil drug ,1
On the bus  it just got there as i got there lucky!,1
"Lost my phone some where.maybe in the grass, its just so long, hope it doesn't rain ",0
all done   time for bed.  buenas noches!!,1
I'm thinking the unthinkable for this weekends photo meet. Fil...... so hard for me to say it ,1
@maskedkali looks like it's turning into a bad habit as well ,1
"I'm all snuffly and then hot and cold, tired and bunged up.  Woe is me ",0
@atl Lame!!! That's a big bummer. ,0
"I spent 52 paying bills today. Goodbye money, it was fun while it lasted... ",0
is pretty sure she is sick! ,0
"@ashleyac My donkey is sensitive about such comments. Nevertheless, he'd (and me'd) be glad to see your mug asap. Charger is still awol. ",0
LAST DAY AT LSHS TOMORROW ,0
@WilliamSledd  Love the videos William  New to twitter x,1
won't be doing the Frank Morgan race ,0
@showa55 congrats. what job is it? ,1
"I know! Big love, true blood and united states of tara have too long of waits between seasons! ",0
time for bed  night twitters,1
@aniita_0517 Ani!! You finally discovered twitterworld!! hehe welcome!!!!   Oh this is so good! ,1
http://twitpic.com/2y3cc - new baawwnggggg!  but no green. sigh.,1
The Family Guy can be so inappropriately hilarious!  http://www.youtube.com/watch?v=ErPsx8zdnX4,1
"@karinhoegh So true. I love Frienfeed, but there are so many cool apps out there that delivers value and so little time ",0
"That was it folks, spring's gone and winter is back...it's snowing outside ",0
"Almost at school. More ERBs.  and I have to bring in my back pack, and poster board and cake for a project. This may not turn out well.",0
@busybeeblogger I hope so too. More movies where we get to see his lil Gilles again hopefully ,1
soooooooooo much uni work to do ,0
@rosenstand @anderssaugstrup [uk] It's hard to tweet [dk] &quot;I dag har Anders fÃ¯Â¿Â½dselsdag..&quot; [dk] within just 140 characters ,1
meetin up with joshua later ,1
We failed that song ,0
"@suitelifeofkell aww, dont say that! ur face ain't bad! its rather pleasant and in phil ritcheys words, &quot;plump&quot; lol hehe ",1
@Cronotriggers  that's sad.,0
"@whatdamnnick well, the problem with rain here is that it comes with extreme coldness. ",0
Horrible Weather ,0
Twitter was really messed up last night. ,0
@jlsbby http://twitpic.com/2y0fo - cutest dog ever  what's his name?,1
"@fartingpen ohh sarri... use sam, sax, sermone, shafi, shery ",1
off to the hospital :S some jaw breaking is about to happen! ,0
Designing a promotional pieces for an 80/90s old school music night... just finished my youtube inspiration playlist...  brilliance...,1
"http://twitpic.com/2y2yi - I love you, Buck. ",0
@OfficialPRofOZ heya girl ,1
@adame ruddy money!! i like it!! still waiting here.... oh what a surprise... by state too?? hmmm....... seriously!! ,0
@mileycyrus ohh i hope u can sleep soon  cute dog but i have heard counting sheeps didnt work because than your brain works greets germany,1
@MajesticFlame ouch - sounds very sucky ,0
@Susielin I LOVE YOU and ain't no one in this whole world who could convey that to you like me! ,1
@Scyranth ,1
"@micameli ???????????My friend was supposed to be having one, but it hasn't been arranged yet ",0
"Got my invite to the Bumptop Beta Trial - having fun bumping things around  Looks useful and messy, just the way I like it!",1
Need's help with this anxiety crap ,0
"What is, if the light at the end of the tunnel is red? - It's simple, the train is already leaving  (Axel Urbanski)",1
and it was a great song too ,0
@sebinomics Flutter: Let's found 'supra-tinyurl.com' then - they're too long otherwise... ,1
@AlexCraven yeah I saw. I'm tempted to get into it but think I'll wait till the DVD set is out. I like to be able to gorge myself on it ,1
"Heard AT&amp;T selling mini laptops for 50 bucks. Got excited, then learned that the special was only for Atlanta/Philly. ",0
BRITNEY is DEFINITELY a 'put on a show' kinda girl!!  B L A S T!!,1
@ferretprincess The word cloud is very alarming...I say good a lot apparently. I like that though.... ,1
Watching Buffy   /sob... Is sad...,0
wondering why ASP.MVC has done such a complex issue with simple CheckBox stuff ,0
whew! Just made through some rough stuff. Epidural is in now. Laura is happy again. Several of my fingers are broken ,1
@FFMo Glad to hear that   Professional phone sex operator. And you?,1
@jamieharrop You a fan of Ross Noble? He once picked on me for a WHOLE performance here! I was the 'Awakeners Girl' according to him ,0
mr twitter what r u doing? i can't send direct messages anymore!! ,0
wow i have been twittering the whole time miley was asleep  weird hehe.,1
Superneej: Morning! Bah Car won't start.. waiting for the ANWB.... ,0
"@tamarlovesu I CAN'T BELIEVE YOU PULLED THAT OFF!  Good shit, dude!  I SO wish I was there...  Sounds like it went well...  ",1
Another day!!! same as the days gone!!!! same as the days to come!!! ,0
@nomadicmatt and if you could sell that much advertising you wouldn't need the coaching would you ,1
is not at all excited about packing (all over again) and putting up at someone else's place. ,0
TODAAAAAY! Let's show Nottingham how things are done! ,1
My baby turns 9 yo today! I'm feeling a little old! ,0
What the.... Didn't have time to tweet since more than 24hours ago!!! ,0
Getting back into the swing of things at work.    Wishing I was at home with my girls.,0
G'm ya'll! Tired tis' morn. Runnin round cleanin &amp; DYIing like a headless chicken!Hubby &amp; I did a brilliant job on our new bathroom floor ,1
@lolly2420 this is nuts! thanks  I am dying over heah!,1
maybe I should include a programmers translation crib-sheet for normal people to understand in my twits ,1
Just woke up...another 10 hour shift today   Started a pally last night...she kicks butt!!!,0
I'm in pain ,0
off to a hot date with the girl  what to have for dinner?,1
Im' now a twitter girl  &lt;3,1
"@Malunis yea, it is getting annoying. ",0
@jameskysonlee That face you got &quot;stuck&quot; with in the latest #Heroes episode...priceless. Kudos to you and Masi and baby Parkman ,1
@danielhalpin Gonna try and find a sports bar to watch that at... not got a chance though I don't think ,0
"@blackshtef Willy and Wonka maybe, so you could say WeenKee Willy Wonka, could be fun in certain situations ",1
Good Night World! I see you tomorrow! ,1
@nmcgivney yeah ploughed around there last night.. .but nothing happening ,0
"@guybatty oh I'm so sorry to hear that  very sad thing, he was so young",0
@michaelmknight morning ,1
"looking forward to today, shows &amp; beach party, busy day haha ",1
@vuittonretarded  awww. Is there anything i can do ,1
Has twitter changed in past 2 weeks? Can only view 2 pages of tweets on phone as selecting 'older' repeatedly shows page 2 and no more ,0
"@chriseaton The high council has reached a verdict, you are &quot; Guilty&quot;! ",1
@mademoiselledee That is one freaky movie. I like &quot;I got life&quot; ,1
"off to London, back online 14Th of April, so C U then ",1
